Real_Estate_Type,Location,Price,Down_Payment,Currency,Bedrooms_Number,Bathrooms_Number,Area,Description
Apartment,"Sodic East, New Heliopolis, Cairo","28,595,000","Down payment: EGP 2,859,500",EGP,3,3,223 Sq. M.,"A fully finished private penthouse for sale in Sodic East, Al-Shorouk, near Madinaty, in equal installments."
Apartment,"Shorouk City, Cairo","4,200,000","Down payment: EGP 420,000",EGP,3,2,150 Sq. M.,"Apartment for sale: 150 sqm, three bedrooms, available with a 10-year installment plan, located in El Shorouk"
Apartment,"Beit Al Watan, 5th Settlement, New Cairo, Cairo","6,880,000",None,EGP,3,3,255 Sq. M.,"""Choose calmness as a lifestyle and treat yourself to a unique residential experience at Future House. In the heart of New Cairo, we offer you"
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","9,000,000",None,EGP,3,4,225 Sq. M.,225 m² with a garden at a special price in the most powerful location in Mountain View
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","15,200,000","Down payment: EGP 1,520,000",EGP,3,3,161 Sq. M.,Apartment Panorama Ready to move 10% dp over 5 years
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","14,700,000","Down payment: EGP 1,470,000",EGP,3,3,153 Sq. M.,Apartment under market price Ready to move 10% dp over 5 years
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","12,600,000","Down payment: EGP 1,260,000",EGP,2,2,132 Sq. M.,Apartment Prime Location Ready to move 10% dp over 5 years
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","11,900,000","Down payment: EGP 1,190,000",EGP,2,2,130 Sq. M.,Apartment Double View Ready to move 10% dp over 5 years
Apartment,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo","11,000,000",None,EGP,2,2,120 Sq. M.,"Receive immediately a finished apartment for sale in the compound, 120 square meters, in the heart of the Golden Square"
Apartment,"Rock Vera Compound, 5th Settlement, New Cairo, Cairo","6,245,000","Down payment: EGP 1,144,000",EGP,3,2,153 Sq. M.,Own a 3-bedroom apartment (immediately) minutes from the American University in the Fifth Settlement
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","5,700,000",None,EGP,2,2,140 Sq. M.,For Sale Apartment Ready To Move Prime Location Landscape view
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","7,000,000",None,EGP,3,3,170 Sq. M.,For Sale Apartment Ready To Move At The Best Location Landscape view
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","7,500,000",None,EGP,3,2,140 Sq. M.,Ready To Move Apartment  Resale Greenary View At The Best Location
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","7,600,000",0% Down Payment,EGP,2,2,114 Sq. M.,Limited Offer 5% Down Payment Get Apartment  Over 8yrs  At The Best Location Without Interest
Apartment,"Al Burouj, Shorouk City, Cairo","12,000,000",None,EGP,3,3,170 Sq. M.,"Apartment 170m for sale in Al Burouj Compound, fully finished in Shorouk, with installments over 8 years"
Apartment,"Taj City Compound, 1st Settlement, New Cairo, Cairo","6,300,000",None,EGP,2,2,122 Sq. M.,Resale Apartment Ready To Move  At The Best Location Landscape View
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","6,350,000","Down payment: EGP 6,000,000",EGP,3,3,170 Sq. M.,"Apartment for sale in Mountain View iCity, 5th Settlement Compounds RTM with the lowest price"
Apartment,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo","5,650,000",0% Down Payment,EGP,2,2,141 Sq. M.,"Ground apartment ready to move for sale in mountainview icity,5th settelments compound"
Apartment,"Stone Residence Compound, Katameya, Cairo","6,250,000",0% Down Payment,EGP,3,3,155 Sq. M.,Ready-to-Move 3BR | 155m² in Stone Residence | Exclusive Offer
Apartment,"Galleria Moon Valley Compound, 5th Settlement, New Cairo, Cairo","6,500,000",0% Down Payment,EGP,2,2,135 Sq. M.,A PRIME INVESTMENT OPPORTUNITY IN ONE OF THE REGION'S MOST PRESTIGIOUS COMPUNDS 2 BEDROOMS WITH HOT PRICE
