real_estate_type,district,governorate,area_m2,bedrooms_number,bathrooms_number,price,general_district,apartment_configuration,bathroom_bedroom_ratio,price_per_sq_m_2
Apartment,Shorouk City,Cairo,150.0,3,2,4200000.0,Shorouk City,3 - 2,0.67,28000.0
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,225.0,3,4,9000000.0,5th settlement,3 - 4,1.33,40000.0
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,161.0,3,3,15200000.0,5th settlement,3 - 3,1.0,94409.94
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,153.0,3,3,14700000.0,5th settlement,3 - 3,1.0,96078.43
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,132.0,2,2,12600000.0,5th settlement,2 - 2,1.0,95454.55
Apartment,Galleria Moon Valley Compound - 5th Settlement - New Cairo,Cairo,130.0,2,2,11900000.0,5th settlement,2 - 2,1.0,91538.46
Apartment,Fifth Square Compound - 5th Settlement - New Cairo,Cairo,120.0,2,2,11000000.0,5th settlement,2 - 2,1.0,91666.67
Apartment,Rock Vera Compound - 5th Settlement - New Cairo,Cairo,153.0,3,2,6245000.0,5th settlement,3 - 2,0.67,40816.99
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,140.0,2,2,5700000.0,5th settlement,2 - 2,1.0,40714.29
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,170.0,3,3,7000000.0,5th settlement,3 - 3,1.0,41176.47
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,140.0,3,2,7500000.0,5th settlement,3 - 2,0.67,53571.43
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,114.0,2,2,7600000.0,1st settlement,2 - 2,1.0,66666.67
Apartment,Al Burouj - Shorouk City,Cairo,170.0,3,3,12000000.0,Shorouk City,3 - 3,1.0,70588.24
Apartment,Taj City Compound - 1st Settlement - New Cairo,Cairo,122.0,2,2,6300000.0,1st settlement,2 - 2,1.0,51639.34
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,170.0,3,3,6350000.0,5th settlement,3 - 3,1.0,37352.94
Apartment,Mountain View iCity Compound - 5th Settlement - New Cairo,Cairo,141.0,2,2,5650000.0,5th settlement,2 - 2,1.0,40070.92
Apartment,Stone Residence Compound - Katameya,Cairo,155.0,3,3,6250000.0,Katameya,3 - 3,1.0,40322.58
